selectedPart,alignmentCategory,anchorCategory,anchorDistance,alignmentDistance,round5Distance,alignmentType,alignmentPosition,chartType,selectedLabel,G,E,F,B,C,D,A,G_ind,E_ind,F_ind,B_ind,C_ind,D_ind,A_ind,UID
50,far-align,anchor,0,10,0,50 and 100,40,line,E,2,50,5,10,2,13,18,4,5,0,6,3,2,1,1
49,aligned,near-anchor,1,0,1,100,51,pie,C,13,8,5,10,49,9,6,0,3,5,1,6,2,4,1
52,far-align,far-anchor,2,11,2,100,37,pie,D,11,3,11,4,12,52,7,6,1,4,0,2,5,3,1
46,near-align,near-anchor,4,2,1,25 and 75,27,pie,D,5,3,12,12,10,46,12,0,6,4,2,1,3,5,1
28,aligned,near-anchor,3,0,2,25,25,line,D,21,12,8,13,2,28,16,6,0,5,1,4,2,3,1
53,near-align,far-anchor,3,1,2,100,46,pie,C,1,8,8,9,53,8,13,6,3,4,0,5,1,2,1
16,near-align,far-anchor,9,1,1,75,74,line,B,23,24,10,16,10,7,10,2,1,6,5,3,4,0,1
20,far-align,far-anchor,5,9,0,50,39,line,E,2,20,28,2,21,18,9,6,3,0,1,4,5,2,1
43,far-align,far-anchor,7,7,2,25,18,line,G,43,6,6,9,16,12,8,2,0,3,5,4,1,6,1
38,near-align,far-anchor,12,2,2,25,23,pie,C,2,16,11,18,38,10,5,5,6,3,0,2,4,1,1
41,aligned,far-anchor,9,0,1,25,25,pie,A,7,11,8,15,10,8,41,1,5,4,6,2,0,3,1
36,near-align,far-anchor,11,4,1,100,60,pie,A,4,17,2,4,16,21,36,6,3,1,0,4,2,5,1
27,far-align,near-anchor,2,6,2,75,42,line,F,4,20,27,8,2,14,25,5,0,3,2,6,1,4,1
25,far-align,anchor,0,7,0,75 and 100,68,line,F,6,21,25,14,7,23,4,1,4,5,3,6,2,0,1
31,aligned,far-anchor,6,0,1,75,44,pie,A,8,9,11,12,13,16,31,2,0,1,6,5,3,4,1
43,near-align,far-anchor,7,3,2,25,22,line,A,9,11,4,11,12,10,43,3,1,6,0,4,5,2,1
26,near-align,near-anchor,1,3,1,25,28,line,G,26,16,26,2,8,20,2,2,5,1,0,3,4,6,1
28,near-align,near-anchor,3,2,2,75,45,line,F,12,3,28,15,20,10,12,6,3,4,5,1,0,2,1
49,aligned,near-anchor,1,0,1,0,0,line,E,8,49,11,6,8,1,17,2,0,1,4,3,5,6,1
25,aligned,anchor,0,0,0,75 and 100,75,pie,D,8,29,6,8,9,25,15,0,3,1,5,2,6,4,1
50,aligned,anchor,0,0,0,25 and 75,25,line,B,3,14,6,50,8,7,12,6,4,0,3,5,1,2,1
29,far-align,near-anchor,4,9,1,100,62,pie,F,9,1,29,21,18,9,13,2,4,5,1,3,6,0,1
55,far-align,far-anchor,5,9,0,25,34,line,G,55,7,8,6,8,5,11,5,3,0,2,4,1,6,1
41,near-align,far-anchor,9,1,1,25,24,pie,B,8,6,5,41,8,16,16,5,6,4,2,1,0,3,1
28,near-align,near-anchor,3,3,2,75,44,line,D,17,13,10,16,15,28,1,0,6,3,2,5,4,1,1
23,near-align,near-anchor,2,1,2,50,28,line,A,17,19,9,19,6,7,23,5,3,1,0,4,6,2,1
49,aligned,near-anchor,1,0,1,75,26,line,C,7,2,11,8,49,15,8,1,6,0,4,3,5,2,1
47,far-align,near-anchor,3,9,2,25,16,pie,D,8,14,2,10,8,47,11,5,0,1,3,6,2,4,1
25,near-align,anchor,0,2,0,75 and 100,73,pie,G,25,2,17,13,18,11,14,5,6,0,1,3,4,2,1
36,far-align,far-anchor,11,7,1,25 and 75,32,pie,E,6,36,16,10,11,15,6,6,3,4,5,0,2,1,1
47,near-align,near-anchor,3,2,2,25,23,pie,A,5,16,7,12,2,11,47,2,1,6,4,0,5,3,1
15,near-align,far-anchor,10,1,0,0,1,pie,G,15,11,19,10,1,38,6,1,3,4,2,0,5,6,1
28,aligned,near-anchor,3,0,2,100,72,pie,E,6,28,11,15,13,9,18,5,6,1,0,2,4,3,1
42,near-align,far-anchor,8,1,2,100,57,pie,A,9,13,7,1,17,11,42,2,0,1,6,3,4,5,1
50,far-align,anchor,0,9,0,50 and 100,41,pie,G,50,9,25,2,1,2,11,5,6,0,4,2,3,1,1
43,near-align,far-anchor,7,1,2,25,24,pie,B,7,10,7,43,8,18,7,2,1,0,3,6,4,5,1
25,near-align,anchor,0,4,0,0 and 25,4,line,B,8,4,11,25,5,17,30,5,0,3,1,6,2,4,1
49,far-align,near-anchor,1,7,1,50,43,pie,D,8,10,9,4,3,49,17,6,1,2,3,4,5,0,1
27,far-align,near-anchor,2,5,2,100,68,line,E,5,27,17,17,15,7,12,6,5,3,1,4,0,2,1
47,aligned,near-anchor,3,0,2,25,25,pie,G,47,3,5,7,13,8,17,3,1,2,6,4,5,0,1
31,near-align,far-anchor,6,3,1,25 and 50,22,pie,D,12,5,8,10,9,31,25,0,5,6,1,3,2,4,1
37,far-align,far-anchor,12,6,2,50,7,pie,C,16,21,5,3,37,7,11,3,4,5,6,1,0,2,1
46,near-align,near-anchor,4,4,1,75,33,line,B,6,9,16,46,10,1,12,2,6,3,4,1,0,5,1
19,aligned,far-anchor,6,0,1,75,56,line,C,8,15,31,10,19,13,4,2,5,1,6,4,0,3,1
41,far-align,far-anchor,9,7,1,50,43,line,E,8,41,20,6,10,5,10,0,4,3,6,2,1,5,1
45,aligned,far-anchor,5,0,0,50,50,line,F,9,4,45,6,5,13,18,3,4,5,2,6,1,0,1
32,aligned,far-anchor,7,0,2,75,43,line,E,13,32,10,5,19,6,15,3,4,5,2,1,0,6,1
23,far-align,near-anchor,2,8,2,50,35,pie,A,6,16,8,22,18,7,23,0,4,5,1,6,2,3,1
30,near-align,far-anchor,5,3,0,100,67,pie,B,5,19,3,30,18,18,7,0,2,6,5,4,3,1,1
54,far-align,far-anchor,4,7,1,75,14,pie,B,4,9,7,54,8,12,6,4,3,5,2,0,6,1,1
52,near-align,far-anchor,2,1,2,0,1,line,A,14,6,18,1,3,6,52,2,3,5,0,4,6,1,1
27,aligned,near-anchor,2,0,2,50,50,pie,D,16,13,11,17,12,27,4,2,0,6,1,5,4,3,1
25,aligned,anchor,0,0,0,0 and 25,0,line,G,25,14,11,20,9,15,6,0,1,2,3,4,5,6,1
